806336,1,APInvManualHold&Release,10/26/2017 11:29:54 AM,Failed,10/26/2017 11:16:27 AM,basic.step,AP Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,92515,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1975,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18166,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1406,Passed,"",basic.step,
"Think: 0 (sec).",,26,Passed,"",basic.comment,
"[1] Import Excel",,11255,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,1,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,66,Passed,"",ft.action,
"Think: 10 (sec).",,10024,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,136,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,39,Passed,"",ft.action,
"Click button(""@index='0'"")",,116,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,429,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,41169,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,23,Passed,"",basic.comment,
"[3] Expand Node from the List",,448,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,344,Passed,"",ft.action,
"Think: 0 (sec).",,18,Passed,"",basic.comment,
"[3] Expand Node from the List",,1434,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,1370,Passed,"",ft.action,
"Think: 0 (sec).",,22,Passed,"",basic.comment,
"[4] Click on the link under the Node",,888,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,421,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,293,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,20391,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,14,Passed,"",ft.action,
"Think: 10 (sec).",,10018,Passed,"",basic.comment,
"Iteration Total (sec)",,713361,Failed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,21,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10393,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,903,Passed,"",ft.action,
"Think: 2 (sec).",,2018,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Payables Manager",,1320,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices",,784,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,861,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,162,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,586,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,2241,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,171,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,1983,Passed,"",ft.action,
"SetText textField(""@name='BAT_SUM_FOLDER_BATCH_NAME_0'"") OATS-180",,147,Passed,"",ft.action,
"Click button(""@name='BAT_CONTROL_BLOCK_INVOICE_0'"")",,2917,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,20,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.getDateTimeFormat",,94,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: insside getDateTimeFormat",basic.comment,
"Info",,0,Passed,"Comments: 26-Oct-2017",basic.comment,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_TYPE_0'"")",,1441,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_VENDOR_NAME_0'"") Approved Networks",,1144,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_VENDOR_NAME_0'"")",,1296,Passed,"",ft.action,
"Click textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"") ",,1097,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"") 26-Oct-2017",,674,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"")",,1295,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_NUM_0'"") INVHOLD-1818",,175,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_AMOUNT_DSP_0'"") 50",,805,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_AMOUNT_DSP_0'"")",,788,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_IBY_PAYMENT_METHOD_0'"") 100",,1214,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_IBY_PAYMENT_METHOD_0'"")",,1702,Passed,"",ft.action,
"SelectItem tab(""@name='TAB_INVOICE_SUM_REGIONS'"") 2 Lines",,26544,Passed,"",ft.action,
"Click textField(""@name='LINE_SUM_FOLDER_AMOUNT_DISP_0'"") ",,1116,Passed,"",ft.action,
"SetText textField(""@name='LINE_SUM_FOLDER_AMOUNT_DISP_0'"") 50",,180,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINE_SUM_FOLDER_AMOUNT_DISP_0'"")",,802,Passed,"",ft.action,
"Click button(""@name='LINE_SUM_CONTROL_DISTRIBUTIONS_0'"")",,5950,Passed,"",ft.action,
"SetText textField(""@name='D_SUM_FOLDER_AMOUNT_0'"") 50",,901,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='D_SUM_FOLDER_AMOUNT_0'"")",,859,Passed,"",ft.action,
"SetText textField(""@name='D_SUM_FOLDER_DIST_CODE_COMBINATION_DISP_0'"") Net 30-CBI",,1397,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='D_SUM_FOLDER_DIST_CODE_COMBINATION_DISP_0'"")",,1594,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,247,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: Net 30-CBI",basic.comment,
"Info",,0,Passed,"Comments: distribution acctnumber is Net 30-CBI",basic.comment,
"ClickToolbarButton window(""@name='DIST_SUMMARY'"") Save",,30517,Passed,"",ft.action,
"Close window(""@name='DIST_SUMMARY'"")",,30602,Passed,"",ft.action,
"SelectItem tab(""@name='TAB_INVOICE_SUM_REGIONS'"") 3 Holds",,30523,Passed,"",ft.action,
"Think: 10 (sec).",,10019,Passed,"",basic.comment,
"SetText textField(""@name='AP_HOLDS_HOLD_NAME_0'"") 110-100120-1010-0000-000-000000-000-0000",,30526,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='AP_HOLDS_HOLD_NAME_0'"")",,30536,Passed,"",ft.action,
"Click textField(""@name='AP_HOLDS_DESC_FLEX_0'"") ",,30540,Passed,"",ft.action,
"SetText flexWindow(""forms:flexWindow"") Enter Hold Reason, , BANKING",,30080,Passed,"",ft.action,
"ClickOk flexWindow(""forms:flexWindow"")",,29024,Passed,"",ft.action,
"Click button(""@name='INV_SUM_CONTROL_ACTIONS_0'"")",,31371,Passed,"",ft.action,
"Check checkBox(""@name='INV_SUM_ACTIONS_APPROVE_0'"") true",,30506,Passed,"",ft.action,
"Click button(""@name='INV_SUM_ACTIONS_OK_BUTTON_0'"")",,30502,Passed,"",ft.action,
"Think: 10 (sec).",,10040,Passed,"",basic.comment,
"SelectItem tab(""@name='TAB_INVOICE_SUM_REGIONS'"") 1 General",,30500,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,235,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: Never Validated",basic.comment,
"Click button(""@name='AP_HOLDS_CONTROL_ACTION_BUTTON_0'"")",,30506,Passed,"",ft.action,
"OpenDialog textField(""@name='AP_HOLD_RELEASES_RELEASE_NAME_0'"")",,30545,Passed,"",ft.action,
"Click button(""@name='AP_HOLD_RELEASES_OK_BUTTON_0'"")",,30496,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,253,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: Never Validated",basic.comment,
"Reported Failure",,0,Failed,"InvoiceNever Validated",basic.comment,
"Click button(""@name='INV_SUM_CONTROL_ACTIONS_0'"")",,30493,Passed,"",ft.action,
"Think: 10 (sec).",,10019,Passed,"",basic.comment,
"Check checkBox(""@name='INV_SUM_ACTIONS_CREATE_ACCOUNTING_0'"") true",,30502,Passed,"",ft.action,
"SelectItem radioGroup(""@name='INV_SUM_ACTIONS_ACCOUNTING_DETAILS_FINAL_POST_0'"")",,30508,Passed,"",ft.action,
"Click button(""@name='INV_SUM_ACTIONS_OK_BUTTON_0'"")",,29459,Passed,"",ft.action,
"ClickButton choiceBox(""forms:choiceBox"") OK",,30899,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,253,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: Text: No",basic.comment,
"Reported Failure",,0,Failed,"Invoice is not Accounted sucessfully",basic.comment,
"Finish Total (sec)",,78,Passed,"",basic.finish,
