367454,1,APInvoiceonHold,9/25/2017 10:09:49 AM,Passed,9/25/2017 10:03:41 AM,basic.step,AP Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,130378,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,3330,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,24333,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1361,Passed,"",basic.step,
"Think: 0 (sec).",,32,Passed,"",basic.comment,
"[1] Import Excel",,17505,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpptp1.fin.yahoo.com:8000/",2,71,Passed,"",ft.action,
"Think: 10 (sec).",,10933,Passed,"",basic.comment,
"Click link(""@text='Continue to this website (not recommended).'"")",,283,Passed,"",ft.action,
"WaitForPage res://ieframe.dll/invalidcert.htm?SSLError=67108864#https://erpptp1.fin.yahoo.com:8000/",,511,Passed,"",web.pageComplete,
"SetText textBox(""@id='usernameField'"") oatsuser",,4115,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,118,Passed,"",ft.action,
"Click button(""@index='0'"")",,190,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,358,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,57225,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,21,Passed,"",basic.comment,
"[3] Expand Node from the List",,15242,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,15185,Passed,"",ft.action,
"Think: 0 (sec).",,22,Passed,"",basic.comment,
"[3] Expand Node from the List",,2989,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2889,Passed,"",ft.action,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1092,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,420,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,393,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,34573,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,21,Passed,"",ft.action,
"Think: 10 (sec).",,10021,Passed,"",basic.comment,
"Iteration Total (sec)",,236657,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,27,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,11494,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,925,Passed,"",ft.action,
"Think: 2 (sec).",,2021,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Payables Manager",,2417,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices",,705,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,802,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,166,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,536,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,7619,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,170,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,7370,Passed,"",ft.action,
"SetText textField(""@name='BAT_SUM_FOLDER_BATCH_NAME_0'"") OATS-551",,162,Passed,"",ft.action,
"Click button(""@name='BAT_CONTROL_BLOCK_INVOICE_0'"")",,41652,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,20,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.getDateTimeFormat",,91,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: insside getDateTimeFormat",basic.comment,
"Info",,1,Passed,"Comments: 25-Sep-2017",basic.comment,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_TYPE_0'"")",,1416,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_VENDOR_NAME_0'"") Approved Networks",,1104,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_VENDOR_NAME_0'"")",,21334,Passed,"",ft.action,
"Click textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"") ",,1152,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"") 25-Sep-2017",,643,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"")",,3683,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_NUM_0'"") INVHOLD-654",,161,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_AMOUNT_DSP_0'"") 100",,794,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_AMOUNT_DSP_0'"")",,740,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_IBY_PAYMENT_METHOD_0'"") Check",,1140,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_IBY_PAYMENT_METHOD_0'"")",,1040,Passed,"",ft.action,
"SelectItem tab(""@name='TAB_INVOICE_SUM_REGIONS'"") 2 Lines",,40193,Passed,"",ft.action,
"Click textField(""@name='LINE_SUM_FOLDER_AMOUNT_DISP_0'"") ",,512,Passed,"",ft.action,
"SetText textField(""@name='LINE_SUM_FOLDER_AMOUNT_DISP_0'"") 50",,67,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINE_SUM_FOLDER_AMOUNT_DISP_0'"")",,994,Passed,"",ft.action,
"Click button(""@name='LINE_SUM_CONTROL_DISTRIBUTIONS_0'"")",,103,Passed,"",ft.action,
"SetText textField(""@name='D_SUM_FOLDER_AMOUNT_0'"") 50",,627,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='D_SUM_FOLDER_AMOUNT_0'"")",,21095,Passed,"",ft.action,
"SetText textField(""@name='D_SUM_FOLDER_DIST_CODE_COMBINATION_DISP_0'"") 110-100120-1010-0000-000-000000-000-0000",,1448,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='D_SUM_FOLDER_DIST_CODE_COMBINATION_DISP_0'"")",,3369,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,236,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: 110-100120-1010-0000-000-000000-000-0000",basic.comment,
"Info",,0,Passed,"Comments: distribution acctnumber is 110-100120-1010-0000-000-000000-000-0000",basic.comment,
"ClickToolbarButton window(""@name='DIST_SUMMARY'"") Save",,9769,Passed,"",ft.action,
"Close window(""@name='DIST_SUMMARY'"")",,1660,Passed,"",ft.action,
"Click button(""@name='INV_SUM_CONTROL_ACTIONS_0'"")",,3926,Passed,"",ft.action,
"Check checkBox(""@name='INV_SUM_ACTIONS_APPROVE_0'"") true",,1036,Passed,"",ft.action,
"Click button(""@name='INV_SUM_ACTIONS_OK_BUTTON_0'"")",,40176,Passed,"",ft.action,
"Think: 10 (sec).",,10018,Passed,"",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,242,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: Text: Needs Revalidation",basic.comment,
"SelectItem tab(""@name='TAB_INVOICE_SUM_REGIONS'"") 3 Holds",,2473,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,238,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: Total of Invoice Lines does not equal Invoice Amount",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,237,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: System",basic.comment,
"Info",,0,Passed,"Comments: Hold Reason is Total of Invoice Lines does not equal Invoice Amount",basic.comment,
"Finish Total (sec)",,49,Passed,"",basic.finish,
