168495,1,ARInvoicewithAdjustment,10/24/2017 17:48:33 PM,Passed,10/24/2017 17:45:44 PM,basic.step,AR Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,97160,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,3923,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18438,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1478,Passed,"",basic.step,
"Think: 0 (sec).",,34,Passed,"",basic.comment,
"[1] Import Excel",,11432,Passed,"",basic.stepGroup,
"Info",,2,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,69,Passed,"",ft.action,
"Think: 10 (sec).",,10034,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,176,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,35,Passed,"",ft.action,
"Click button(""@index='0'"")",,116,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,481,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,41396,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,26,Passed,"",basic.comment,
"[3] Expand Node from the List",,409,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,360,Passed,"",ft.action,
"Think: 0 (sec).",,25,Passed,"",basic.comment,
"[3] Expand Node from the List",,1434,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,1375,Passed,"",ft.action,
"Think: 0 (sec).",,26,Passed,"",basic.comment,
"[4] Click on the link under the Node",,936,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,423,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,326,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,22277,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,12,Passed,"",ft.action,
"Think: 10 (sec).",,10020,Passed,"",basic.comment,
"Iteration Total (sec)",,70933,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10096,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,856,Passed,"",ft.action,
"Think: 2 (sec).",,2024,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Receivables Manager",,1044,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions",,710,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",,640,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",,2668,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"") US Manual",,296,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"")",,316,Passed,"",ft.action,
"SelectItem  list(""@name='TGW_HEADER_CTT_CLASS_MIR_0'"") Invoice",,449,Passed,"",ft.action,
"InvokeSoftKey list(""@name='TGW_HEADER_CTT_CLASS_MIR_0'"")",,207,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_CTT_TYPE_NAME_MIR_0'"") Invoice",,382,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_RAC_SHIP_TO_CUSTOMER_NUM_MIR_0'"") 1000145398",,416,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_RAC_SHIP_TO_CUSTOMER_NUM_MIR_0'"")",,321,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_RAC_BILL_TO_CUSTOMER_NUM_MIR_0'"") 1000145398",,355,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_RAC_BILL_TO_CUSTOMER_NUM_MIR_0'"")",,236,Passed,"",ft.action,
"Click button(""@name='TGW_HEADER_HEADER_LINE_ITEMS_0'"")",,2414,Passed,"",ft.action,
"SetFocus textField(""@name='TLIN_LINES_LINE_NUMBER_0'"")",,110,Passed,"",ft.action,
"SetText textField(""@name='TLIN_LINES_DESCRIPTION_0'"") ITEM Invoice",,419,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TLIN_LINES_DESCRIPTION_0'"")",,285,Passed,"",ft.action,
"SetText textField(""@name='TLIN_LINES_QUANTITY_0'"") 10",,436,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TLIN_LINES_QUANTITY_0'"")",,492,Passed,"",ft.action,
"SetText textField(""@name='TLIN_LINES_UNIT_SELLING_PRICE_0'"") 10",,93,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TLIN_LINES_UNIT_SELLING_PRICE_0'"")",,494,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TLIN_LINES_EXTENDED_AMOUNT_0'"")",,282,Passed,"",ft.action,
"Click button(""@name='TLIN_LINES_LINE_ACCOUNTING_0'"")",,1754,Passed,"",ft.action,
"SetText textField(""@name='TACC_ACC_ASSGN_ACCOUNTING_FLEX_0'"") 110-100300-1014-0000-000-000000-000-0000",,75,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TACC_ACC_ASSGN_ACCOUNTING_FLEX_0'"")",,487,Passed,"",ft.action,
"ClickToolbarButton window(""@name='TACCOUNTS'"") Save",,333,Passed,"",ft.action,
"Close window(""@name='TACCOUNTS'"")",,550,Passed,"",ft.action,
"Close window(""@name='TLIN_LINES'"")",,710,Passed,"",ft.action,
"SetFocus textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"")",,94,Passed,"",ft.action,
"Click button(""@name='TGW_HEADER_HEADER_COMPLETE_0'"")",,1618,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,124,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: 441641",basic.comment,
"Close window(""@name='TMAI_HEADER'"")",,575,Passed,"",ft.action,
"Click button(""@name='NAV_CONTROLS_COLLAPSE_ALL_0'"")",,630,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions",,673,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",,577,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",,2626,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_TRX_NUMBER_MIR_0'"")",,868,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_TRX_NUMBER_MIR_0'"") 441641",,368,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_TRX_NUMBER_MIR_0'"")",,714,Passed,"",ft.action,
"SelectMenuItem window(""@name='TMAI_HEADER'"") Actions|Adjust",,3042,Passed,"",ft.action,
"Think: 5 (sec).",,5025,Passed,"",basic.comment,
"SetText textField(""@name='ADJ_ADJUST_ACTIVITY_NAME_0'"") Credit Card Bank Fees",,62,Passed,"",ft.action,
"SelectItem  list(""@name='ADJ_ADJUST_TYPE_0'"") Line",,625,Passed,"",ft.action,
"SetText textField(""@name='ADJ_ADJUST_AMOUNT_0'"") -10",,435,Passed,"",ft.action,
"Activate window(""@name='ADJ_ADJUST'"")",,64,Passed,"",ft.action,
"ClickToolbarButton window(""@name='ADJ_ADJUST'"") Save",,681,Passed,"",ft.action,
"Think: 5 (sec).",,5021,Passed,"",basic.comment,
"Close window(""@name='ADJ_ADJUST'"")",,587,Passed,"",ft.action,
"Close window(""@name='CQIT_PS'"")",,678,Passed,"",ft.action,
"Click button(""@name='TGW_HEADER_HEADER_BAL_REF_0'"")",,1128,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,118,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: Text: 90.00",basic.comment,
"Info",,0,Passed,"Comments: 90.00",basic.comment,
"Think: 2 (sec).",,2029,Passed,"",basic.comment,
"Click button(""@name='TGW_HEADER_HEADER_BALANCES_0'"")",,1243,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,129,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: Text: (10.00)",basic.comment,
"Info",,0,Passed,"Comments: (10.00)",basic.comment,
"Close window(""@name='TMAI_BALANCES'"")",,634,Passed,"",ft.action,
"SelectMenuItem window(""@name='TMAI_HEADER'"") Tools|Create Accounting",,3123,Passed,"",ft.action,
"Click button(""@name='SLACEXEC_OK_BP_0'"")",,1618,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Accounting has been successfully created for this
transaction.",basic.comment,
"ClickButton choiceBox(""forms:choiceBox"") OK",,946,Passed,"",ft.action,
"SelectMenuItem window(""@name='TMAI_HEADER'"") Tools|View Accounting",,3101,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/RF.jsp?function_id=32604&resp_id=20678&resp_appl_id=222&security_group_id=0&lang_code=US&params=wuGVNugDD6ZAgz6f05r1WJ4FXkQXaOR0FZa989HD5t5gQ9wouQUYEPSYxIyTg7P59DQfsgjtYrwT1.xtkCTbYVTwb5TGkPqoPouY-...",,397,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Info",,0,Passed,"Comments: 110-130100-0000-0000-000-000000-000-0000",basic.comment,
"Info",,0,Passed,"Comments: 110-100300-1014-0000-000-000000-000-0000",basic.comment,
"closeBrowser",317,11,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,189,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: 90.00",basic.comment,
"Close window(""@name='TMAI_HEADER'"")",,572,Passed,"",ft.action,
"Finish Total (sec)",,47,Passed,"",basic.finish,
