375847,1,AROnAccountCM,9/19/2017 15:22:20 PM,Passed,9/19/2017 15:16:03 PM,basic.step,AR Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,130656,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1959,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,28435,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1388,Passed,"",basic.step,
"Think: 0 (sec).",,27,Passed,"",basic.comment,
"[1] Import Excel",,21643,Passed,"",basic.stepGroup,
"Info",,2,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,75,Passed,"",ft.action,
"Think: 10 (sec).",,10943,Passed,"",basic.comment,
"Click link(""@text='Continue to this website (not recommended).'"")",,257,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp#",,462,Passed,"",web.pageComplete,
"SetText textBox(""@id='usernameField'"") oatsuser",,109,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,50,Passed,"",ft.action,
"Click button(""@index='0'"")",,169,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",,8898,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,42559,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[3] Expand Node from the List",,1299,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,1243,Passed,"",ft.action,
"Think: 0 (sec).",,23,Passed,"",basic.comment,
"[3] Expand Node from the List",,2532,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2485,Passed,"",ft.action,
"Think: 0 (sec).",,31,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1025,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,422,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,344,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,47003,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,18,Passed,"",ft.action,
"Think: 10 (sec).",,10024,Passed,"",basic.comment,
"Iteration Total (sec)",,244785,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,11858,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1350,Passed,"",ft.action,
"Think: 2 (sec).",,2036,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Receivables Manager",,2340,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions",,1359,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",,1265,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",,8518,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"") US Manual",,299,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"")",,1000,Passed,"",ft.action,
"SelectItem  list(""@name='TGW_HEADER_CTT_CLASS_MIR_0'"") Credit Memo",,778,Passed,"",ft.action,
"InvokeSoftKey list(""@name='TGW_HEADER_CTT_CLASS_MIR_0'"")",,312,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_CTT_TYPE_NAME_MIR_0'"") Credit Memo",,559,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_RAC_SHIP_TO_CUSTOMER_NUM_MIR_0'"") 1000145398",,988,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_RAC_SHIP_TO_CUSTOMER_NUM_MIR_0'"")",,5191,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_RAC_BILL_TO_CUSTOMER_NUM_MIR_0'"") 1000145398",,517,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_RAC_BILL_TO_CUSTOMER_NUM_MIR_0'"")",,383,Passed,"",ft.action,
"Click button(""@name='TGW_HEADER_HEADER_LINE_ITEMS_0'"")",,8280,Passed,"",ft.action,
"SetFocus textField(""@name='TLIN_LINES_LINE_NUMBER_0'"")",,179,Passed,"",ft.action,
"SetText textField(""@name='TLIN_LINES_DESCRIPTION_0'"") On Account",,559,Passed,"",ft.action,
"SetText textField(""@name='TLIN_LINES_EXTENDED_AMOUNT_0'"") -30",,664,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TLIN_LINES_EXTENDED_AMOUNT_0'"")",,853,Passed,"",ft.action,
"Click button(""@name='TLIN_LINES_LINE_ACCOUNTING_0'"")",,6051,Passed,"",ft.action,
"SetText textField(""@name='TACC_ACC_ASSGN_ACCOUNTING_FLEX_0'"") 110-100300-1014-0000-000-000000-000-0000",,79,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TACC_ACC_ASSGN_ACCOUNTING_FLEX_0'"")",,874,Passed,"",ft.action,
"ClickToolbarButton window(""@name='TACCOUNTS'"") Save",,1356,Passed,"",ft.action,
"Close window(""@name='TACCOUNTS'"")",,873,Passed,"",ft.action,
"SetFocus textField(""@name='TLIN_LINES_LINE_NUMBER_0'"")",,545,Passed,"",ft.action,
"Close window(""@name='TLIN_LINES'"")",,58,Passed,"",ft.action,
"SetFocus textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"")",,61,Passed,"",ft.action,
"Click button(""@name='TGW_HEADER_HEADER_COMPLETE_0'"")",,20060,Passed,"",ft.action,
"SetFocus textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"")",,61,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,111,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: 441566",basic.comment,
"SelectMenuItem window(""@name='TMAI_HEADER'"") Actions|Applications",,3071,Passed,"",ft.action,
"OpenDialog textField(""@name='APP_FOLDER_TRX_NUMBER_0'"")",,27810,Passed,"",ft.action,
"Activate window(""@name='APP_FOLDER'"")",,91,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") 441501",,624,Passed,"",ft.action,
"Click textField(""@name='APP_FOLDER_APPLY_DATE_0'"") ",,120,Passed,"",ft.action,
"SetText textField(""@name='RGW_FOLDER_M_APPLIED_AMOUNT_0'"") -30",,30258,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,138,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: 30.00",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,145,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: 441501",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,146,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: 40.00",basic.comment,
"Activate window(""@name='APP_FOLDER'"")",,88,Passed,"",ft.action,
"ClickToolbarButton window(""@name='APP_FOLDER'"") Save",,20455,Passed,"",ft.action,
"Close window(""@name='APP_FOLDER'"")",,952,Passed,"",ft.action,
"SelectMenuItem window(""@name='TMAI_HEADER'"") Tools|Create Accounting",,3250,Passed,"",ft.action,
"Click button(""@name='SLACEXEC_OK_BP_0'"")",,50089,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Accounting has been successfully created for this
transaction.",basic.comment,
"ClickButton choiceBox(""forms:choiceBox"") OK",,1696,Passed,"",ft.action,
"SelectMenuItem window(""@name='TMAI_HEADER'"") Tools|View Accounting",,3236,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/RF.jsp?function_id=32604&resp_id=20678&resp_appl_id=222&security_group_id=0&lang_code=US&params=ZspNQ2tFFmKwQiaMI2xRcJ4FXkQXaOR0FZa989HD5t55ViwSr5NAwpbeRsMwmn5ueTSYM9QxmHTicmJTc3uPDFTwb5TGkPqoPouY-...",,10486,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Info",,0,Passed,"Comments: 110-130100-0000-0000-000-000000-000-0000",basic.comment,
"Info",,1,Passed,"Comments: 110-130100-0000-0000-000-000000-000-0000",basic.comment,
"closeBrowser",317,17,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,148,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: (30.00)",basic.comment,
"Close window(""@name='TMAI_HEADER'"")",,907,Passed,"",ft.action,
"Click button(""@name='NAV_CONTROLS_COLLAPSE_ALL_0'"")",,1130,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions",,1399,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",,1145,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",,4205,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_TRX_NUMBER_MIR_0'"")",,1094,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_TRX_NUMBER_MIR_0'"") 441501",,826,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_TRX_NUMBER_MIR_0'"")",,3433,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,88,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: 40.00",basic.comment,
"Finish Total (sec)",,54,Passed,"",basic.finish,
